,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
0,1610612745,Houston Rockets,HOU
1,1610612747,Los Angeles Lakers,LAL
2,1610612738,Boston Celtics,BOS
3,1610612748,Miami Heat,MIA
4,1610612756,Phoenix Suns,PHX
5,1610612757,Portland Trail Blazers,POR
6,1610612755,Philadelphia 76ers,PHI
7,1610612744,Golden State Warriors,GSW
8,1610612759,San Antonio Spurs,SAS
9,1610612754,Indiana Pacers,IND
10,1610612751,New Jersey Nets,NJN
11,1610612765,Detroit Pistons,DET
12,1610612746,Los Angeles Clippers,LAC
13,1610612739,Cleveland Cavaliers,CLE
14,1610612766,Charlotte Bobcats,CHA
15,1610612742,Dallas Mavericks,DAL
16,1610612762,Utah Jazz,UTA
17,1610612743,Denver Nuggets,DEN
18,1610612758,Sacramento Kings,SAC
19,1610612750,Minnesota Timberwolves,MIN
20,1610612749,Milwaukee Bucks,MIL
21,1610612740,New Orleans Hornets,NOH
22,1610612761,Toronto Raptors,TOR
23,1610612752,New York Knicks,NYK
24,1610612763,Memphis Grizzlies,MEM
25,1610612737,Atlanta Hawks,ATL
26,1610612741,Chicago Bulls,CHI
27,1610612760,Oklahoma City Thunder,OKC
28,1610612764,Washington Wizards,WAS
29,1610612753,Orlando Magic,ORL
